Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend,sma21,sma34,Trade Call,sma14,std14,Bollinger Upper,Bollinger Lower
2019-08-12,1784.92,1795.99,1800.98,1777.0,2.91,8,2019,-2.1607814332854525,Negative,1795.7809523809517,1795.33294117647,HODL,1787.0371428571432,24.399253906806027,1835.8356506707553,1738.238635043531
2019-08-09,1807.58,1828.95,1831.09,1802.22,2.88,8,2019,1.2695246845797037,Positive,1795.1633333333327,1797.7485294117644,SELL,1788.5500000000004,25.005795328283376,1838.5615906565672,1738.5384093434336
2019-08-08,1832.89,1806.0,1834.26,1798.11,3.7,8,2019,1.4002146516336909,Positive,1795.236666666666,1800.4852941176468,HODL,1793.4528571428575,26.55586402822765,1846.564585199313,1740.3411290864021
2019-08-07,1793.4,1773.99,1798.93,1757.0,4.53,8,2019,-2.1545210023514727,Negative,1793.326666666666,1801.2226470588232,HODL,1795.7078571428574,24.95625131445687,1845.620359771771,1745.7953545139437
2019-08-06,1787.83,1792.23,1793.77,1753.4,5.07,8,2019,-0.3105832496933303,Slight or No change,1790.8080952380947,1802.5820588235292,HODL,1797.0621428571433,23.879023681424307,1844.820190219992,1749.3040954942946
2019-08-05,1765.13,1770.22,1788.67,1748.78,6.06,8,2019,-1.2696956645765978,Negative,1789.1180952380944,1801.9888235294113,HODL,1798.1700000000005,21.775821100830743,1841.721642201662,1754.618357798339
2019-08-02,1823.24,1845.07,1846.36,1808.02,4.96,8,2019,3.2921087965192215,Among top gainers,1790.7085714285706,1802.8441176470583,HODL,1799.4300000000007,22.728322893219875,1844.8866457864406,1753.973354213561
2019-08-01,1855.32,1871.72,1897.92,1844.01,4.71,8,2019,1.7595050569316095,Positive,1794.471904761904,1803.8388235294112,HODL,1801.7000000000007,26.58188509840144,1854.8637701968037,1748.5362298031978
2019-07-31,1866.78,1898.11,1899.55,1849.44,4.47,7,2019,0.617683202897612,Slight positive,1798.2995238095227,1805.2894117647054,HODL,1806.371428571429,31.763002875174667,1869.8974343217785,1742.8454228210796
2019-07-30,1898.53,1891.12,1909.89,1883.48,2.91,7,2019,1.7007895949174625,Positive,1804.6938095238086,1807.5241176470581,HODL,1812.2578571428578,40.21922199809284,1892.6963011390435,1731.819413146672
2019-07-29,1912.45,1930.0,1932.23,1890.54,4.49,7,2019,0.7331988433156189,Slight positive,1811.866190476189,1810.6008823529405,BUY,1820.820714285715,47.759778775464724,1916.3402718366444,1725.3011567347855
2019-07-26,1943.05,1942.0,1950.89,1924.51,4.93,7,2019,1.6000418311589826,Positive,1820.160476190475,1813.6511764705879,HODL,1832.7442857142864,55.88752216788599,1944.5193300500584,1720.9692413785144
2019-07-25,1973.82,2001.0,2001.2,1972.72,4.14,7,2019,1.5835928051259662,Positive,1830.8366666666652,1817.482647058823,HODL,1847.8057142857149,63.525315694343064,1974.856345674401,1720.7550828970288
2019-07-24,2000.81,1969.3,2001.3,1965.87,2.63,7,2019,1.367399256264501,Positive,1840.1323809523794,1822.712647058823,HODL,1860.4107142857151,74.98529183618783,2010.3812979580907,1710.4401306133395
2019-07-23,1994.49,1995.99,1997.79,1973.13,2.7,7,2019,-0.3158720718109187,Slight or No change,1848.2728571428556,1827.828529411764,HODL,1875.380000000001,79.5359694149084,2034.451938829818,1716.3080611701841
2019-07-22,1985.63,1971.14,1989.0,1958.26,2.91,7,2019,-0.4442238366700213,Slight or No change,1857.046666666665,1832.3661764705876,HODL,1888.0978571428584,82.05599571948717,2052.209848581833,1723.985865703884
