Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-07-26,BAJFINANCE,EQ,1627.5,1636,1695.75,1630,1691.15,1687.15,1665.45,1475906,2458050593.65,49277,490085,33.21,0.031265281173594,0.040337423312884,0.018343745087484,0.020638029956913,-1
2017-07-27,BAJFINANCE,EQ,1687.15,1704,1739.8,1671.1,1673.9,1679.35,1709.8,1955562,3343620960.35,62265,565168,28.9,-0.014465962441315,0.041110645682485,0.010479393589536,0.02033760182213,-1
2017-07-28,BAJFINANCE,EQ,1679.35,1672,1710.9,1662.55,1702.2,1701.35,1694.75,926268,1569796006.05,38831,231827,25.03,0.017553827751196,0.02908183212535,0.00983998207984,0.020158424785114,-1
2017-07-31,BAJFINANCE,EQ,1701.35,1718,1724,1697.6,1705.65,1703.1,1708.39,576928,985615846.05,23982,229995,39.87,-0.008672875436554,0.01555136663525,0.013000029251006,0.016181991730576,-1
2017-08-01,BAJFINANCE,EQ,1703.1,1709.9,1727.9,1706.05,1718,1716.25,1718.82,692591,1190439654.5,31158,307909,44.46,0.003713667465934,0.012807362035111,0.010775648088255,0.015940610442476,-1
2017-08-02,BAJFINANCE,EQ,1716.25,1724.95,1726.2,1691.1,1705,1707.2,1708.87,396171,677006159.4,16443,94058,23.74,-0.010290153337778,0.02075572112826,0.002390762042583,0.007951322565431,-1
2017-08-03,BAJFINANCE,EQ,1707.2,1714,1729,1698.05,1708,1701.75,1713.46,775709,1329143630,38229,345257,44.51,-0.007147024504084,0.018226789552722,0.002676925911039,0.007656052284143,-1
2017-08-04,BAJFINANCE,EQ,1701.75,1704.9,1730,1701.05,1729.55,1723.45,1714.61,710636,1218461438.15,30960,328620,46.24,0.01088040354273,0.01701890009112,0.002607180429115,0.007538036843478,-1
2017-08-07,BAJFINANCE,EQ,1723.45,1735.5,1805.95,1729.6,1800,1798.15,1781.41,1504033,2679297944.9,45419,563718,37.48,0.036099106885624,0.044143154486587,0.011070120236112,0.019532794612827,-1
2017-08-08,BAJFINANCE,EQ,1798.15,1813,1829.5,1772,1778,1779.8,1798.06,1761065,3166505882.2,52781,788011,44.75,-0.018312189740761,0.03244920993228,0.00748489081531,0.021813204853966,-1
2017-08-09,BAJFINANCE,EQ,1779.8,1769.9,1769.9,1682.55,1693,1697.7,1725.25,1899560,3277223611.15,55363,1150309,60.56,-0.040793265156224,0.051915247689519,-0.000686239978619,0.032715001584968,-1
2017-08-10,BAJFINANCE,EQ,1697.7,1680,1689.9,1610.05,1650,1635.6,1655.57,1835002,3037977637.15,53350,1046613,57.04,-0.026428571428572,0.049594733082824,-0.007363547799405,0.036538184052184,-1
2017-08-11,BAJFINANCE,EQ,1635.6,1590,1732.6,1590,1704.9,1695.4,1678.57,3505576,5884367717.05,71055,1489630,42.49,0.066289308176101,0.089685534591195,-0.002601562354574,0.041083954001165,-1
2017-08-14,BAJFINANCE,EQ,1695.4,1721.3,1742.35,1705,1717,1710.9,1718.56,1311855,2254500538.2,49700,678202,51.7,-0.006041945041538,0.021906158357771,-0.009441744093871,0.033706880444718,-1
2017-08-16,BAJFINANCE,EQ,1710.9,1730,1730,1683.2,1725,1721.35,1704.39,705754,1202879178.4,27125,233605,33.1,-0.005,0.027804182509506,-0.006179178238585,0.034396956045439,-1
2017-08-17,BAJFINANCE,EQ,1721.35,1730,1762.5,1720.5,1722,1728.75,1740.6,729269,1269367431.3,21925,165060,22.63,-0.000722543352601,0.024411508282476,0.003906367745187,0.026162147228527,-1
